RegioS,NettoArbeidsparticipatie_16,Perioden
CR18  ,72.0,2022JJ00
CR18  ,72.9,2023JJ00
CR19  ,67.1,2013JJ00
CR19  ,66.6,2014JJ00
CR19  ,67.5,2015JJ00
CR19  ,68.0,2016JJ00
CR19  ,68.2,2017JJ00
CR19  ,69.3,2018JJ00
CR19  ,70.6,2019JJ00
CR19  ,69.9,2020JJ00
CR19  ,70.6,2021JJ00
CR19  ,72.2,2022JJ00
CR19  ,73.2,2023JJ00
CR20  ,68.6,2013JJ00
CR20  ,68.2,2014JJ00
CR20  ,68.8,2015JJ00
CR20  ,69.6,2016JJ00
CR20  ,70.4,2017JJ00
CR20  ,70.7,2018JJ00
CR20  ,71.7,2019JJ00
CR20  ,71.0,2020JJ00
CR20  ,71.6,2021JJ00
CR20  ,72.8,2022JJ00
CR20  ,73.8,2023JJ00
CR21  ,67.8,2013JJ00
CR21  ,67.4,2014JJ00
CR21  ,68.4,2015JJ00
CR21  ,68.9,2016JJ00
CR21  ,69.9,2017JJ00
CR21  ,71.2,2018JJ00
CR21  ,71.4,2019JJ00
CR21  ,70.6,2020JJ00
CR21  ,71.6,2021JJ00
CR21  ,72.9,2022JJ00
CR21  ,74.3,2023JJ00
CR22  ,66.8,2013JJ00
CR22  ,65.6,2014JJ00
CR22  ,66.7,2015JJ00
CR22  ,67.4,2016JJ00
CR22  ,67.4,2017JJ00
CR22  ,68.8,2018JJ00
CR22  ,70.0,2019JJ00
CR22  ,68.6,2020JJ00
CR22  ,69.5,2021JJ00
CR22  ,71.1,2022JJ00
CR22  ,72.4,2023JJ00
CR23  ,67.4,2013JJ00
CR23  ,67.3,2014JJ00
CR23  ,67.9,2015JJ00
CR23  ,69.4,2016JJ00
CR23  ,69.3,2017JJ00
CR23  ,70.1,2018JJ00
CR23  ,71.0,2019JJ00
CR23  ,70.3,2020JJ00
CR23  ,69.8,2021JJ00
CR23  ,73.2,2022JJ00
CR23  ,73.6,2023JJ00
CR24  ,67.0,2013JJ00
CR24  ,66.2,2014JJ00
CR24  ,66.7,2015JJ00
CR24  ,67.4,2016JJ00
CR24  ,67.9,2017JJ00
CR24  ,68.7,2018JJ00
CR24  ,70.0,2019JJ00
CR24  ,69.3,2020JJ00
CR24  ,70.2,2021JJ00
CR24  ,72.6,2022JJ00
CR24  ,73.6,2023JJ00
CR25  ,69.0,2013JJ00
CR25  ,69.3,2014JJ00
CR25  ,69.4,2015JJ00
CR25  ,69.5,2016JJ00
CR25  ,70.1,2017JJ00
CR25  ,71.4,2018JJ00
CR25  ,72.4,2019JJ00
CR25  ,71.5,2020JJ00
CR25  ,72.4,2021JJ00
CR25  ,74.1,2022JJ00
CR25  ,75.4,2023JJ00
CR26  ,64.2,2013JJ00
CR26  ,63.3,2014JJ00
CR26  ,63.5,2015JJ00
CR26  ,63.7,2016JJ00
CR26  ,64.9,2017JJ00
CR26  ,66.8,2018JJ00
CR26  ,67.6,2019JJ00
CR26  ,66.8,2020JJ00
CR26  ,66.8,2021JJ00
CR26  ,68.9,2022JJ00
CR26  ,70.5,2023JJ00
CR27  ,67.3,2013JJ00
CR27  ,67.3,2014JJ00
CR27  ,68.1,2015JJ00
CR27  ,68.6,2016JJ00
CR27  ,69.5,2017JJ00
CR27  ,70.7,2018JJ00
CR27  ,71.7,2019JJ00
CR27  ,70.6,2020JJ00
CR27  ,71.1,2021JJ00
CR27  ,73.5,2022JJ00
CR27  ,75.1,2023JJ00
CR28  ,68.7,2013JJ00
CR28  ,68.7,2014JJ00
CR28  ,68.6,2015JJ00
CR28  ,68.9,2016JJ00
CR28  ,69.9,2017JJ00
CR28  ,71.2,2018JJ00
CR28  ,71.6,2019JJ00
CR28  ,71.3,2020JJ00
CR28  ,72.6,2021JJ00
CR28  ,74.5,2022JJ00
CR28  ,75.3,2023JJ00
CR29  ,63.8,2013JJ00
CR29  ,63.5,2014JJ00
CR29  ,63.8,2015JJ00
CR29  ,63.7,2016JJ00
CR29  ,65.5,2017JJ00
CR29  ,67.0,2018JJ00
CR29  ,68.1,2019JJ00
CR29  ,67.8,2020JJ00
CR29  ,68.6,2021JJ00
CR29  ,70.4,2022JJ00
CR29  ,71.6,2023JJ00
CR30  ,67.3,2013JJ00
CR30  ,66.9,2014JJ00
CR30  ,67.0,2015JJ00
CR30  ,67.6,2016JJ00
CR30  ,68.7,2017JJ00
CR30  ,69.7,2018JJ00
CR30  ,70.6,2019JJ00
CR30  ,70.0,2020JJ00
CR30  ,71.3,2021JJ00
CR30  ,72.9,2022JJ00
CR30  ,74.1,2023JJ00
CR31  ,62.7,2013JJ00
CR31  ,63.0,2014JJ00
CR31  ,64.5,2015JJ00
CR31  ,64.5,2016JJ00
CR31  ,63.8,2017JJ00
CR31  ,65.9,2018JJ00
CR31  ,65.4,2019JJ00
CR31  ,65.7,2020JJ00
CR31  ,67.6,2021JJ00
CR31  ,67.9,2022JJ00
CR31  ,69.3,2023JJ00
CR32  ,66.3,2013JJ00
CR32  ,66.8,2014JJ00
CR32  ,67.3,2015JJ00
CR32  ,68.3,2016JJ00
CR32  ,67.8,2017JJ00
CR32  ,69.5,2018JJ00
CR32  ,69.8,2019JJ00
CR32  ,69.7,2020JJ00
CR32  ,71.3,2021JJ00
CR32  ,72.2,2022JJ00
CR32  ,73.1,2023JJ00
CR33  ,67.2,2013JJ00
CR33  ,66.6,2014JJ00
CR33  ,66.8,2015JJ00
CR33  ,67.1,2016JJ00
CR33  ,68.1,2017JJ00
CR33  ,69.2,2018JJ00
CR33  ,70.3,2019JJ00
CR33  ,69.7,2020JJ00
CR33  ,70.8,2021JJ00
CR33  ,71.9,2022JJ00
CR33  ,72.8,2023JJ00
CR34  ,67.8,2013JJ00
CR34  ,67.3,2014JJ00
CR34  ,67.7,2015JJ00
CR34  ,68.6,2016JJ00
CR34  ,69.8,2017JJ00
CR34  ,70.4,2018JJ00
CR34  ,71.7,2019JJ00
CR34  ,71.3,2020JJ00
CR34  ,72.1,2021JJ00
CR34  ,73.1,2022JJ00
CR34  ,73.9,2023JJ00
CR35  ,68.5,2013JJ00
CR35  ,67.9,2014JJ00
CR35  ,68.4,2015JJ00
CR35  ,69.0,2016JJ00
CR35  ,69.9,2017JJ00
CR35  ,70.7,2018JJ00
CR35  ,72.1,2019JJ00
CR35  ,72.3,2020JJ00
CR35  ,72.7,2021JJ00
CR35  ,73.5,2022JJ00
CR35  ,74.5,2023JJ00
CR36  ,67.1,2013JJ00
CR36  ,66.5,2014JJ00
CR36  ,67.2,2015JJ00
CR36  ,67.9,2016JJ00
CR36  ,68.9,2017JJ00
CR36  ,69.8,2018JJ00
CR36  ,71.4,2019JJ00
CR36  ,70.8,2020JJ00
CR36  ,72.0,2021JJ00
CR36  ,72.9,2022JJ00
CR36  ,74.0,2023JJ00
CR37  ,67.1,2013JJ00
CR37  ,66.4,2014JJ00
CR37  ,67.3,2015JJ00
CR37  ,68.4,2016JJ00
CR37  ,69.1,2017JJ00
CR37  ,70.0,2018JJ00
CR37  ,71.1,2019JJ00
CR37  ,70.2,2020JJ00
CR37  ,70.6,2021JJ00
CR37  ,71.8,2022JJ00
CR37  ,72.8,2023JJ00
CR38  ,65.8,2013JJ00
CR38  ,65.0,2014JJ00
CR38  ,65.7,2015JJ00
CR38  ,65.7,2016JJ00
CR38  ,66.5,2017JJ00
CR38  ,67.6,2018JJ00
CR38  ,68.7,2019JJ00
CR38  ,68.4,2020JJ00
CR38  ,68.5,2021JJ00
CR38  ,69.4,2022JJ00
CR38  ,70.3,2023JJ00
CR39  ,61.5,2013JJ00
CR39  ,60.9,2014JJ00
CR39  ,61.9,2015JJ00
CR39  ,62.2,2016JJ00
CR39  ,62.4,2017JJ00
