RegioS,JongerDan20Jaar_9,Perioden
PV22  ,56.0,1990JJ00
PV22  ,55.0,1991JJ00
PV22  ,46.0,1992JJ00
PV22  ,51.0,1993JJ00
PV22  ,41.0,1994JJ00
PV22  ,44.0,1995JJ00
PV22  ,33.0,1996JJ00
PV22  ,52.0,1997JJ00
PV22  ,38.0,1998JJ00
PV22  ,71.0,1999JJ00
PV22  ,45.0,2000JJ00
PV22  ,66.0,2001JJ00
PV22  ,72.0,2002JJ00
PV22  ,70.0,2003JJ00
PV22  ,51.0,2004JJ00
PV22  ,64.0,2005JJ00
PV22  ,54.0,2006JJ00
PV22  ,61.0,2007JJ00
PV22  ,46.0,2008JJ00
PV22  ,61.0,2009JJ00
PV22  ,55.0,2010JJ00
PV22  ,54.0,2011JJ00
PV22  ,44.0,2012JJ00
PV22  ,37.0,2013JJ00
PV22  ,41.0,2014JJ00
PV22  ,37.0,2015JJ00
PV22  ,33.0,2016JJ00
PV22  ,26.0,2017JJ00
PV22  ,35.0,2018JJ00
PV22  ,27.0,2019JJ00
PV22  ,28.0,2020JJ00
PV22  ,20.0,2021JJ00
PV22  ,24.0,2022JJ00
PV22  ,21.0,2023JJ00
PV23  ,255.0,1988JJ00
PV23  ,228.0,1989JJ00
PV23  ,251.0,1990JJ00
PV23  ,216.0,1991JJ00
PV23  ,166.0,1992JJ00
PV23  ,163.0,1993JJ00
PV23  ,165.0,1994JJ00
PV23  ,131.0,1995JJ00
PV23  ,121.0,1996JJ00
PV23  ,136.0,1997JJ00
PV23  ,133.0,1998JJ00
PV23  ,151.0,1999JJ00
PV23  ,161.0,2000JJ00
PV23  ,183.0,2001JJ00
PV23  ,183.0,2002JJ00
PV23  ,178.0,2003JJ00
PV23  ,142.0,2004JJ00
PV23  ,118.0,2005JJ00
PV23  ,137.0,2006JJ00
PV23  ,125.0,2007JJ00
PV23  ,125.0,2008JJ00
PV23  ,120.0,2009JJ00
PV23  ,143.0,2010JJ00
PV23  ,109.0,2011JJ00
PV23  ,110.0,2012JJ00
PV23  ,91.0,2013JJ00
PV23  ,91.0,2014JJ00
PV23  ,60.0,2015JJ00
PV23  ,65.0,2016JJ00
PV23  ,53.0,2017JJ00
PV23  ,55.0,2018JJ00
PV23  ,51.0,2019JJ00
PV23  ,42.0,2020JJ00
PV23  ,40.0,2021JJ00
PV23  ,49.0,2022JJ00
PV23  ,43.0,2023JJ00
PV24  ,71.0,1988JJ00
PV24  ,52.0,1989JJ00
PV24  ,64.0,1990JJ00
PV24  ,74.0,1991JJ00
PV24  ,61.0,1992JJ00
PV24  ,50.0,1993JJ00
PV24  ,40.0,1994JJ00
PV24  ,52.0,1995JJ00
PV24  ,40.0,1996JJ00
PV24  ,62.0,1997JJ00
PV24  ,58.0,1998JJ00
PV24  ,69.0,1999JJ00
PV24  ,67.0,2000JJ00
PV24  ,96.0,2001JJ00
PV24  ,89.0,2002JJ00
PV24  ,93.0,2003JJ00
PV24  ,76.0,2004JJ00
