Regiokenmerken,LeerlingenStudenten_1,Perioden
PV99   ,3510.0,2021SJ00
PV99   ,3780.0,2022SJ00
PV99   ,2660.0,2023SJ00
CR01   ,13130.0,2011SJ00
CR01   ,12770.0,2012SJ00
CR01   ,12470.0,2013SJ00
CR01   ,12230.0,2014SJ00
CR01   ,11890.0,2015SJ00
CR01   ,11680.0,2016SJ00
CR01   ,11570.0,2017SJ00
CR01   ,10470.0,2018SJ00
CR01   ,10340.0,2019SJ00
CR01   ,10260.0,2020SJ00
CR01   ,10240.0,2021SJ00
CR01   ,9990.0,2022SJ00
CR01   ,9790.0,2023SJ00
CR02   ,4220.0,2011SJ00
CR02   ,4130.0,2012SJ00
CR02   ,3960.0,2013SJ00
CR02   ,3870.0,2014SJ00
CR02   ,3780.0,2015SJ00
CR02   ,3670.0,2016SJ00
CR02   ,3640.0,2017SJ00
CR02   ,3560.0,2018SJ00
CR02   ,3390.0,2019SJ00
CR02   ,3340.0,2020SJ00
CR02   ,3260.0,2021SJ00
CR02   ,3220.0,2022SJ00
CR02   ,3140.0,2023SJ00
CR03   ,31180.0,2011SJ00
CR03   ,30760.0,2012SJ00
CR03   ,30390.0,2013SJ00
CR03   ,30130.0,2014SJ00
CR03   ,29800.0,2015SJ00
CR03   ,29410.0,2016SJ00
CR03   ,28970.0,2017SJ00
CR03   ,29620.0,2018SJ00
CR03   ,29260.0,2019SJ00
CR03   ,28950.0,2020SJ00
CR03   ,28560.0,2021SJ00
CR03   ,28550.0,2022SJ00
CR03   ,28100.0,2023SJ00
CR04   ,31880.0,2011SJ00
CR04   ,31460.0,2012SJ00
CR04   ,31010.0,2013SJ00
CR04   ,29640.0,2014SJ00
CR04   ,29040.0,2015SJ00
CR04   ,28400.0,2016SJ00
CR04   ,27930.0,2017SJ00
CR04   ,27250.0,2018SJ00
CR04   ,26880.0,2019SJ00
CR04   ,26440.0,2020SJ00
CR04   ,26010.0,2021SJ00
CR04   ,25640.0,2022SJ00
CR04   ,25520.0,2023SJ00
CR05   ,10990.0,2011SJ00
CR05   ,10650.0,2012SJ00
CR05   ,10380.0,2013SJ00
CR05   ,13040.0,2014SJ00
CR05   ,12720.0,2015SJ00
CR05   ,12370.0,2016SJ00
CR05   ,12220.0,2017SJ00
CR05   ,12380.0,2018SJ00
CR05   ,12140.0,2019SJ00
CR05   ,11910.0,2020SJ00
CR05   ,11560.0,2021SJ00
CR05   ,11450.0,2022SJ00
CR05   ,11170.0,2023SJ00
CR06   ,20290.0,2011SJ00
CR06   ,19750.0,2012SJ00
CR06   ,19190.0,2013SJ00
CR06   ,16840.0,2014SJ00
CR06   ,16530.0,2015SJ00
CR06   ,16180.0,2016SJ00
CR06   ,15910.0,2017SJ00
CR06   ,15860.0,2018SJ00
CR06   ,15670.0,2019SJ00
CR06   ,15420.0,2020SJ00
CR06   ,15230.0,2021SJ00
CR06   ,15060.0,2022SJ00
CR06   ,14940.0,2023SJ00
CR07   ,18660.0,2011SJ00
CR07   ,18310.0,2012SJ00
CR07   ,17870.0,2013SJ00
CR07   ,17310.0,2014SJ00
CR07   ,16920.0,2015SJ00
CR07   ,16700.0,2016SJ00
CR07   ,16380.0,2017SJ00
CR07   ,16100.0,2018SJ00
CR07   ,15780.0,2019SJ00
CR07   ,15500.0,2020SJ00
CR07   ,15320.0,2021SJ00
CR07   ,15320.0,2022SJ00
CR07   ,15020.0,2023SJ00
CR08   ,15740.0,2011SJ00
CR08   ,15310.0,2012SJ00
CR08   ,14900.0,2013SJ00
CR08   ,14420.0,2014SJ00
CR08   ,14110.0,2015SJ00
CR08   ,13670.0,2016SJ00
CR08   ,13290.0,2017SJ00
CR08   ,13000.0,2018SJ00
CR08   ,12810.0,2019SJ00
CR08   ,12600.0,2020SJ00
CR08   ,12440.0,2021SJ00
CR08   ,12390.0,2022SJ00
CR08   ,12210.0,2023SJ00
CR09   ,13000.0,2011SJ00
CR09   ,12700.0,2012SJ00
CR09   ,12410.0,2013SJ00
CR09   ,12050.0,2014SJ00
CR09   ,11950.0,2015SJ00
CR09   ,11580.0,2016SJ00
CR09   ,11390.0,2017SJ00
CR09   ,11350.0,2018SJ00
CR09   ,11130.0,2019SJ00
CR09   ,10900.0,2020SJ00
CR09   ,10770.0,2021SJ00
CR09   ,10530.0,2022SJ00
CR09   ,10440.0,2023SJ00
CR10   ,38090.0,2011SJ00
CR10   ,37730.0,2012SJ00
CR10   ,37220.0,2013SJ00
CR10   ,36650.0,2014SJ00
CR10   ,36060.0,2015SJ00
CR10   ,35900.0,2016SJ00
CR10   ,35660.0,2017SJ00
CR10   ,35450.0,2018SJ00
CR10   ,35310.0,2019SJ00
CR10   ,34980.0,2020SJ00
CR10   ,34610.0,2021SJ00
CR10   ,34750.0,2022SJ00
CR10   ,34410.0,2023SJ00
CR11   ,15210.0,2011SJ00
CR11   ,14910.0,2012SJ00
CR11   ,14630.0,2013SJ00
CR11   ,14370.0,2014SJ00
CR11   ,13960.0,2015SJ00
CR11   ,13690.0,2016SJ00
CR11   ,13480.0,2017SJ00
CR11   ,13370.0,2018SJ00
CR11   ,13040.0,2019SJ00
CR11   ,12880.0,2020SJ00
CR11   ,12740.0,2021SJ00
CR11   ,12660.0,2022SJ00
CR11   ,12570.0,2023SJ00
CR12   ,61980.0,2011SJ00
CR12   ,61070.0,2012SJ00
CR12   ,59850.0,2013SJ00
CR12   ,58800.0,2014SJ00
CR12   ,57250.0,2015SJ00
CR12   ,55730.0,2016SJ00
CR12   ,54420.0,2017SJ00
CR12   ,53380.0,2018SJ00
CR12   ,52310.0,2019SJ00
CR12   ,51400.0,2020SJ00
CR12   ,50390.0,2021SJ00
CR12   ,49890.0,2022SJ00
CR12   ,49050.0,2023SJ00
CR13   ,65630.0,2011SJ00
CR13   ,64800.0,2012SJ00
CR13   ,63750.0,2013SJ00
CR13   ,62670.0,2014SJ00
CR13   ,62280.0,2015SJ00
CR13   ,61900.0,2016SJ00
CR13   ,61960.0,2017SJ00
CR13   ,61840.0,2018SJ00
CR13   ,62200.0,2019SJ00
CR13   ,62450.0,2020SJ00
CR13   ,62060.0,2021SJ00
CR13   ,62300.0,2022SJ00
CR13   ,61870.0,2023SJ00
CR14   ,39080.0,2011SJ00
CR14   ,37730.0,2012SJ00
CR14   ,36480.0,2013SJ00
CR14   ,35090.0,2014SJ00
CR14   ,33930.0,2015SJ00
CR14   ,32780.0,2016SJ00
CR14   ,31910.0,2017SJ00
CR14   ,30970.0,2018SJ00
CR14   ,30070.0,2019SJ00
CR14   ,29390.0,2020SJ00
CR14   ,28740.0,2021SJ00
CR14   ,28600.0,2022SJ00
CR14   ,28350.0,2023SJ00
CR15   ,63490.0,2011SJ00
CR15   ,62340.0,2012SJ00
CR15   ,61230.0,2013SJ00
CR15   ,60380.0,2014SJ00
CR15   ,59160.0,2015SJ00
CR15   ,58650.0,2016SJ00
CR15   ,58150.0,2017SJ00
CR15   ,57680.0,2018SJ00
CR15   ,57230.0,2019SJ00
CR15   ,56660.0,2020SJ00
CR15   ,56090.0,2021SJ00
CR15   ,55790.0,2022SJ00
CR15   ,55040.0,2023SJ00
CR16   ,25360.0,2011SJ00
CR16   ,24740.0,2012SJ00
CR16   ,24040.0,2013SJ00
CR16   ,23330.0,2014SJ00
CR16   ,22680.0,2015SJ00
CR16   ,22200.0,2016SJ00
CR16   ,21870.0,2017SJ00
CR16   ,21660.0,2018SJ00
CR16   ,21590.0,2019SJ00
CR16   ,21440.0,2020SJ00
CR16   ,21280.0,2021SJ00
CR16   ,21370.0,2022SJ00
CR16   ,21230.0,2023SJ00
CR17   ,124250.0,2011SJ00
CR17   ,123750.0,2012SJ00
CR17   ,122720.0,2013SJ00
CR17   ,121880.0,2014SJ00
CR17   ,121010.0,2015SJ00
CR17   ,120090.0,2016SJ00
CR17   ,119310.0,2017SJ00
CR17   ,118820.0,2018SJ00
CR17   ,121210.0,2019SJ00
CR17   ,120680.0,2020SJ00
CR17   ,119330.0,2021SJ00
CR17   ,119060.0,2022SJ00
CR17   ,118300.0,2023SJ00
CR18   ,36400.0,2011SJ00
CR18   ,35610.0,2012SJ00
CR18   ,34440.0,2013SJ00
CR18   ,33660.0,2014SJ00
CR18   ,33140.0,2015SJ00
CR18   ,32260.0,2016SJ00
CR18   ,31610.0,2017SJ00
CR18   ,31260.0,2018SJ00
CR18   ,30980.0,2019SJ00
CR18   ,30520.0,2020SJ00
CR18   ,30310.0,2021SJ00
CR18   ,30060.0,2022SJ00
CR18   ,29650.0,2023SJ00
