RegioS,MannenEnVrouwen_4,Perioden
PV24  ,5.5,1995JJ00
PV24  ,5.4,1996JJ00
PV24  ,5.4,1997JJ00
PV24  ,5.4,1998JJ00
PV24  ,5.5,1999JJ00
PV24  ,5.4,2000JJ00
PV24  ,5.3,2001JJ00
PV24  ,5.5,2002JJ00
PV24  ,5.6,2003JJ00
PV24  ,5.1,2004JJ00
PV24  ,5.3,2005JJ00
PV24  ,5.4,2006JJ00
PV24  ,5.2,2007JJ00
PV24  ,5.2,2008JJ00
PV24  ,5.3,2009JJ00
PV24  ,5.4,2010JJ00
PV24  ,5.5,2011JJ00
PV24  ,5.6,2012JJ00
PV24  ,5.6,2013JJ00
PV24  ,5.3,2014JJ00
PV24  ,5.6,2015JJ00
PV24  ,5.9,2016JJ00
PV24  ,5.6,2017JJ00
PV24  ,6.0,2018JJ00
PV24  ,5.9,2019JJ00
PV24  ,6.4,2020JJ00
PV24  ,6.8,2021JJ00
PV24  ,6.5,2022JJ00
PV24  ,6.5,2023JJ00
PV25  ,8.4,1988JJ00
PV25  ,8.7,1989JJ00
PV25  ,8.6,1990JJ00
PV25  ,8.6,1991JJ00
PV25  ,8.6,1992JJ00
PV25  ,9.1,1993JJ00
PV25  ,8.6,1994JJ00
PV25  ,8.6,1995JJ00
PV25  ,8.8,1996JJ00
PV25  ,8.7,1997JJ00
PV25  ,8.7,1998JJ00
PV25  ,8.9,1999JJ00
PV25  ,8.8,2000JJ00
PV25  ,8.7,2001JJ00
PV25  ,8.9,2002JJ00
PV25  ,8.9,2003JJ00
PV25  ,8.4,2004JJ00
PV25  ,8.5,2005JJ00
PV25  ,8.3,2006JJ00
PV25  ,8.1,2007JJ00
PV25  ,8.2,2008JJ00
PV25  ,8.2,2009JJ00
PV25  ,8.4,2010JJ00
PV25  ,8.3,2011JJ00
PV25  ,8.6,2012JJ00
PV25  ,8.6,2013JJ00
PV25  ,8.4,2014JJ00
PV25  ,8.8,2015JJ00
PV25  ,8.9,2016JJ00
PV25  ,9.1,2017JJ00
PV25  ,9.2,2018JJ00
PV25  ,9.2,2019JJ00
PV25  ,10.0,2020JJ00
PV25  ,10.1,2021JJ00
PV25  ,10.1,2022JJ00
PV25  ,9.8,2023JJ00
PV26  ,8.0,1988JJ00
PV26  ,8.2,1989JJ00
PV26  ,8.1,1990JJ00
PV26  ,8.2,1991JJ00
PV26  ,8.0,1992JJ00
PV26  ,8.4,1993JJ00
PV26  ,8.2,1994JJ00
PV26  ,8.2,1995JJ00
PV26  ,8.4,1996JJ00
PV26  ,8.0,1997JJ00
PV26  ,8.2,1998JJ00
PV26  ,8.3,1999JJ00
PV26  ,8.2,2000JJ00
PV26  ,8.1,2001JJ00
PV26  ,7.9,2002JJ00
PV26  ,7.9,2003JJ00
PV26  ,7.6,2004JJ00
PV26  ,7.4,2005JJ00
PV26  ,7.4,2006JJ00
PV26  ,6.9,2007JJ00
PV26  ,7.2,2008JJ00
PV26  ,7.1,2009JJ00
PV26  ,7.2,2010JJ00
PV26  ,7.2,2011JJ00
PV26  ,7.2,2012JJ00
PV26  ,7.3,2013JJ00
PV26  ,7.2,2014JJ00
PV26  ,7.5,2015JJ00
PV26  ,7.5,2016JJ00
PV26  ,7.5,2017JJ00
PV26  ,7.6,2018JJ00
PV26  ,7.5,2019JJ00
PV26  ,8.2,2020JJ00
PV26  ,8.3,2021JJ00
PV26  ,8.3,2022JJ00
PV26  ,8.3,2023JJ00
PV27  ,9.0,1988JJ00
PV27  ,9.2,1989JJ00
PV27  ,9.1,1990JJ00
PV27  ,9.0,1991JJ00
PV27  ,9.0,1992JJ00
PV27  ,9.4,1993JJ00
PV27  ,9.0,1994JJ00
PV27  ,9.0,1995JJ00
PV27  ,9.1,1996JJ00
PV27  ,8.8,1997JJ00
PV27  ,8.9,1998JJ00
PV27  ,8.9,1999JJ00
PV27  ,8.9,2000JJ00
PV27  ,8.8,2001JJ00
PV27  ,8.8,2002JJ00
PV27  ,8.7,2003JJ00
PV27  ,8.3,2004JJ00
PV27  ,8.3,2005JJ00
PV27  ,8.1,2006JJ00
PV27  ,8.0,2007JJ00
PV27  ,8.1,2008JJ00
PV27  ,7.8,2009JJ00
PV27  ,7.8,2010JJ00
PV27  ,7.8,2011JJ00
PV27  ,8.1,2012JJ00
PV27  ,8.1,2013JJ00
PV27  ,7.9,2014JJ00
PV27  ,8.3,2015JJ00
PV27  ,8.3,2016JJ00
PV27  ,8.1,2017JJ00
PV27  ,8.2,2018JJ00
PV27  ,8.1,2019JJ00
PV27  ,8.8,2020JJ00
PV27  ,9.0,2021JJ00
PV27  ,8.8,2022JJ00
PV27  ,8.8,2023JJ00
PV28  ,8.7,1988JJ00
PV28  ,9.0,1989JJ00
PV28  ,9.0,1990JJ00
PV28  ,9.0,1991JJ00
PV28  ,8.8,1992JJ00
PV28  ,9.4,1993JJ00
PV28  ,9.0,1994JJ00
PV28  ,9.1,1995JJ00
PV28  ,9.1,1996JJ00
PV28  ,9.1,1997JJ00
PV28  ,9.1,1998JJ00
PV28  ,9.2,1999JJ00
PV28  ,9.1,2000JJ00
PV28  ,9.0,2001JJ00
PV28  ,9.0,2002JJ00
PV28  ,8.9,2003JJ00
PV28  ,8.6,2004JJ00
PV28  ,8.5,2005JJ00
PV28  ,8.4,2006JJ00
PV28  ,8.4,2007JJ00
PV28  ,8.3,2008JJ00
PV28  ,8.2,2009JJ00
PV28  ,8.2,2010JJ00
PV28  ,8.0,2011JJ00
PV28  ,8.3,2012JJ00
PV28  ,8.2,2013JJ00
PV28  ,8.0,2014JJ00
PV28  ,8.4,2015JJ00
PV28  ,8.5,2016JJ00
PV28  ,8.4,2017JJ00
PV28  ,8.5,2018JJ00
PV28  ,8.4,2019JJ00
PV28  ,9.3,2020JJ00
PV28  ,9.2,2021JJ00
PV28  ,9.1,2022JJ00
PV28  ,8.8,2023JJ00
PV29  ,9.5,1988JJ00
PV29  ,10.1,1989JJ00
PV29  ,9.4,1990JJ00
PV29  ,9.5,1991JJ00
PV29  ,9.7,1992JJ00
PV29  ,10.0,1993JJ00
PV29  ,9.7,1994JJ00
PV29  ,9.7,1995JJ00
PV29  ,9.9,1996JJ00
PV29  ,9.6,1997JJ00
PV29  ,10.0,1998JJ00
PV29  ,9.9,1999JJ00
PV29  ,9.9,2000JJ00
PV29  ,10.1,2001JJ00
PV29  ,10.3,2002JJ00
PV29  ,9.7,2003JJ00
PV29  ,9.6,2004JJ00
PV29  ,9.7,2005JJ00
PV29  ,9.5,2006JJ00
PV29  ,9.3,2007JJ00
PV29  ,9.6,2008JJ00
PV29  ,9.2,2009JJ00
PV29  ,9.8,2010JJ00
PV29  ,9.6,2011JJ00
PV29  ,9.8,2012JJ00
PV29  ,10.0,2013JJ00
PV29  ,9.3,2014JJ00
PV29  ,10.3,2015JJ00
PV29  ,10.2,2016JJ00
PV29  ,10.3,2017JJ00
PV29  ,10.6,2018JJ00
PV29  ,10.3,2019JJ00
PV29  ,10.8,2020JJ00
PV29  ,12.3,2021JJ00
PV29  ,11.4,2022JJ00
PV29  ,11.3,2023JJ00
PV30  ,7.2,1988JJ00
PV30  ,7.5,1989JJ00
PV30  ,7.4,1990JJ00
PV30  ,7.6,1991JJ00
PV30  ,7.6,1992JJ00
PV30  ,7.9,1993JJ00
PV30  ,7.8,1994JJ00
PV30  ,8.0,1995JJ00
PV30  ,8.0,1996JJ00
PV30  ,7.8,1997JJ00
PV30  ,7.9,1998JJ00
PV30  ,8.2,1999JJ00
PV30  ,8.1,2000JJ00
PV30  ,8.1,2001JJ00
PV30  ,8.3,2002JJ00
PV30  ,8.2,2003JJ00
PV30  ,7.9,2004JJ00
PV30  ,7.9,2005JJ00
PV30  ,7.9,2006JJ00
PV30  ,7.9,2007JJ00
PV30  ,8.0,2008JJ00
PV30  ,7.9,2009JJ00
PV30  ,8.0,2010JJ00
PV30  ,8.0,2011JJ00
PV30  ,8.3,2012JJ00
PV30  ,8.3,2013JJ00
PV30  ,8.4,2014JJ00
PV30  ,8.8,2015JJ00
PV30  ,8.9,2016JJ00
PV30  ,9.0,2017JJ00
PV30  ,9.1,2018JJ00
PV30  ,9.0,2019JJ00
PV30  ,10.3,2020JJ00
PV30  ,9.9,2021JJ00
PV30  ,9.8,2022JJ00
PV30  ,9.9,2023JJ00
PV31  ,8.1,1988JJ00
PV31  ,8.4,1989JJ00
PV31  ,8.6,1990JJ00
PV31  ,8.4,1991JJ00
PV31  ,8.5,1992JJ00
PV31  ,8.9,1993JJ00
PV31  ,8.6,1994JJ00
PV31  ,8.8,1995JJ00
PV31  ,9.0,1996JJ00
PV31  ,9.1,1997JJ00
PV31  ,9.2,1998JJ00
PV31  ,9.4,1999JJ00
PV31  ,9.3,2000JJ00
PV31  ,9.5,2001JJ00
PV31  ,9.6,2002JJ00
PV31  ,9.7,2003JJ00
PV31  ,9.3,2004JJ00
PV31  ,9.4,2005JJ00
PV31  ,9.3,2006JJ00
PV31  ,9.1,2007JJ00
PV31  ,9.4,2008JJ00
PV31  ,9.3,2009JJ00
PV31  ,9.5,2010JJ00
PV31  ,9.3,2011JJ00
PV31  ,9.8,2012JJ00
