RegioS,WerkzameBeroepsbevolking_3,Perioden
CR18  ,199.0,2020JJ00
CR18  ,200.0,2021JJ00
CR18  ,204.0,2022JJ00
CR18  ,208.0,2023JJ00
CR19  ,120.0,2013JJ00
CR19  ,120.0,2014JJ00
CR19  ,121.0,2015JJ00
CR19  ,123.0,2016JJ00
CR19  ,125.0,2017JJ00
CR19  ,127.0,2018JJ00
CR19  ,130.0,2019JJ00
CR19  ,130.0,2020JJ00
CR19  ,132.0,2021JJ00
CR19  ,135.0,2022JJ00
CR19  ,138.0,2023JJ00
CR20  ,99.0,2013JJ00
CR20  ,99.0,2014JJ00
CR20  ,100.0,2015JJ00
CR20  ,102.0,2016JJ00
CR20  ,104.0,2017JJ00
CR20  ,105.0,2018JJ00
CR20  ,106.0,2019JJ00
CR20  ,106.0,2020JJ00
CR20  ,107.0,2021JJ00
CR20  ,108.0,2022JJ00
CR20  ,110.0,2023JJ00
CR21  ,110.0,2013JJ00
CR21  ,110.0,2014JJ00
CR21  ,112.0,2015JJ00
CR21  ,114.0,2016JJ00
CR21  ,117.0,2017JJ00
CR21  ,119.0,2018JJ00
CR21  ,120.0,2019JJ00
CR21  ,119.0,2020JJ00
CR21  ,121.0,2021JJ00
CR21  ,124.0,2022JJ00
CR21  ,127.0,2023JJ00
CR22  ,84.0,2013JJ00
CR22  ,82.0,2014JJ00
CR22  ,84.0,2015JJ00
CR22  ,85.0,2016JJ00
CR22  ,86.0,2017JJ00
CR22  ,88.0,2018JJ00
CR22  ,90.0,2019JJ00
CR22  ,89.0,2020JJ00
CR22  ,90.0,2021JJ00
CR22  ,93.0,2022JJ00
CR22  ,95.0,2023JJ00
CR23  ,683.0,2013JJ00
CR23  ,688.0,2014JJ00
CR23  ,701.0,2015JJ00
CR23  ,726.0,2016JJ00
CR23  ,733.0,2017JJ00
CR23  ,749.0,2018JJ00
CR23  ,766.0,2019JJ00
CR23  ,766.0,2020JJ00
CR23  ,773.0,2021JJ00
CR23  ,823.0,2022JJ00
CR23  ,841.0,2023JJ00
CR24  ,111.0,2013JJ00
CR24  ,110.0,2014JJ00
CR24  ,111.0,2015JJ00
CR24  ,113.0,2016JJ00
CR24  ,115.0,2017JJ00
CR24  ,117.0,2018JJ00
CR24  ,120.0,2019JJ00
CR24  ,120.0,2020JJ00
CR24  ,122.0,2021JJ00
CR24  ,126.0,2022JJ00
CR24  ,129.0,2023JJ00
CR25  ,215.0,2013JJ00
CR25  ,217.0,2014JJ00
CR25  ,218.0,2015JJ00
CR25  ,220.0,2016JJ00
CR25  ,224.0,2017JJ00
CR25  ,230.0,2018JJ00
CR25  ,235.0,2019JJ00
CR25  ,233.0,2020JJ00
CR25  ,236.0,2021JJ00
CR25  ,243.0,2022JJ00
CR25  ,250.0,2023JJ00
CR26  ,397.0,2013JJ00
CR26  ,394.0,2014JJ00
CR26  ,396.0,2015JJ00
CR26  ,402.0,2016JJ00
CR26  ,413.0,2017JJ00
CR26  ,429.0,2018JJ00
CR26  ,439.0,2019JJ00
CR26  ,439.0,2020JJ00
CR26  ,449.0,2021JJ00
CR26  ,468.0,2022JJ00
CR26  ,485.0,2023JJ00
CR27  ,115.0,2013JJ00
CR27  ,116.0,2014JJ00
CR27  ,118.0,2015JJ00
CR27  ,119.0,2016JJ00
CR27  ,122.0,2017JJ00
CR27  ,125.0,2018JJ00
CR27  ,128.0,2019JJ00
CR27  ,127.0,2020JJ00
