Regiokenmerken,VoortijdigSchoolverlaters_2,Perioden
GM0613 ,40.0,2012SJ00
GM0613 ,30.0,2013SJ00
GM0613 ,40.0,2014SJ00
GM0613 ,40.0,2015SJ00
GM0613 ,40.0,2016SJ00
GM0613 ,30.0,2017SJ00
GM0613 ,50.0,2018SJ00
GM0613 ,40.0,2019SJ00
GM0613 ,40.0,2020SJ00
GM0613 ,40.0,2021SJ00
GM0613 ,40.0,2022SJ00
GM0361 ,230.0,2012SJ00
GM0361 ,190.0,2013SJ00
GM0361 ,200.0,2014SJ00
GM0361 ,190.0,2015SJ00
GM0361 ,180.0,2016SJ00
GM0361 ,190.0,2017SJ00
GM0361 ,200.0,2018SJ00
GM0361 ,210.0,2019SJ00
GM0361 ,200.0,2020SJ00
GM0361 ,260.0,2021SJ00
GM0361 ,230.0,2022SJ00
GM0141 ,150.0,2012SJ00
GM0141 ,110.0,2013SJ00
GM0141 ,120.0,2014SJ00
GM0141 ,120.0,2015SJ00
GM0141 ,140.0,2016SJ00
GM0141 ,140.0,2017SJ00
GM0141 ,160.0,2018SJ00
GM0141 ,150.0,2019SJ00
GM0141 ,140.0,2020SJ00
GM0141 ,180.0,2021SJ00
GM0141 ,200.0,2022SJ00
GM0034 ,530.0,2012SJ00
GM0034 ,450.0,2013SJ00
GM0034 ,540.0,2014SJ00
GM0034 ,450.0,2015SJ00
GM0034 ,490.0,2016SJ00
GM0034 ,490.0,2017SJ00
GM0034 ,520.0,2018SJ00
GM0034 ,390.0,2019SJ00
GM0034 ,460.0,2020SJ00
GM0034 ,630.0,2021SJ00
GM0034 ,620.0,2022SJ00
GM0484 ,150.0,2012SJ00
GM0484 ,140.0,2013SJ00
GM0484 ,200.0,2014SJ00
GM0484 ,170.0,2015SJ00
GM0484 ,190.0,2016SJ00
GM0484 ,210.0,2017SJ00
GM0484 ,240.0,2018SJ00
GM0484 ,170.0,2019SJ00
GM0484 ,200.0,2020SJ00
GM0484 ,250.0,2021SJ00
GM0484 ,220.0,2022SJ00
GM1723 ,0.0,2012SJ00
GM1723 ,10.0,2013SJ00
GM1723 ,10.0,2014SJ00
GM1723 ,10.0,2015SJ00
GM1723 ,10.0,2016SJ00
GM1723 ,10.0,2017SJ00
GM1723 ,10.0,2018SJ00
GM1723 ,0.0,2019SJ00
GM1723 ,10.0,2020SJ00
GM1723 ,10.0,2021SJ00
GM1723 ,20.0,2022SJ00
GM1959 ,,2012SJ00
GM1959 ,,2013SJ00
GM1959 ,,2014SJ00
GM1959 ,,2015SJ00
GM1959 ,,2016SJ00
GM1959 ,,2017SJ00
GM1959 ,,2018SJ00
GM1959 ,60.0,2019SJ00
GM1959 ,80.0,2020SJ00
GM1959 ,100.0,2021SJ00
GM1959 ,100.0,2022SJ00
GM0060 ,10.0,2012SJ00
GM0060 ,0.0,2013SJ00
GM0060 ,0.0,2014SJ00
GM0060 ,10.0,2015SJ00
GM0060 ,10.0,2016SJ00
GM0060 ,0.0,2017SJ00
GM0060 ,0.0,2018SJ00
GM0060 ,0.0,2019SJ00
GM0060 ,0.0,2020SJ00
GM0060 ,0.0,2021SJ00
GM0060 ,0.0,2022SJ00
GM0307 ,290.0,2012SJ00
GM0307 ,280.0,2013SJ00
GM0307 ,270.0,2014SJ00
GM0307 ,290.0,2015SJ00
GM0307 ,280.0,2016SJ00
GM0307 ,280.0,2017SJ00
GM0307 ,300.0,2018SJ00
GM0307 ,290.0,2019SJ00
GM0307 ,270.0,2020SJ00
GM0307 ,390.0,2021SJ00
GM0307 ,360.0,2022SJ00
GM0362 ,110.0,2012SJ00
GM0362 ,140.0,2013SJ00
GM0362 ,120.0,2014SJ00
GM0362 ,110.0,2015SJ00
GM0362 ,140.0,2016SJ00
GM0362 ,110.0,2017SJ00
GM0362 ,140.0,2018SJ00
GM0362 ,110.0,2019SJ00
GM0362 ,120.0,2020SJ00
GM0362 ,160.0,2021SJ00
GM0362 ,180.0,2022SJ00
GM0363 ,1730.0,2012SJ00
GM0363 ,1730.0,2013SJ00
GM0363 ,1620.0,2014SJ00
GM0363 ,1630.0,2015SJ00
GM0363 ,1690.0,2016SJ00
GM0363 ,1730.0,2017SJ00
GM0363 ,1760.0,2018SJ00
GM0363 ,1370.0,2019SJ00
GM0363 ,1480.0,2020SJ00
GM0363 ,1920.0,2021SJ00
GM0363 ,1940.0,2022SJ00
GM0200 ,330.0,2012SJ00
GM0200 ,280.0,2013SJ00
GM0200 ,260.0,2014SJ00
GM0200 ,260.0,2015SJ00
GM0200 ,290.0,2016SJ00
GM0200 ,330.0,2017SJ00
GM0200 ,380.0,2018SJ00
GM0200 ,340.0,2019SJ00
GM0200 ,330.0,2020SJ00
GM0200 ,420.0,2021SJ00
GM0200 ,350.0,2022SJ00
GM0003 ,30.0,2012SJ00
GM0003 ,30.0,2013SJ00
GM0003 ,10.0,2014SJ00
GM0003 ,20.0,2015SJ00
GM0003 ,20.0,2016SJ00
GM0003 ,30.0,2017SJ00
GM0003 ,10.0,2018SJ00
GM0003 ,20.0,2019SJ00
GM0003 ,30.0,2020SJ00
GM0003 ,,2021SJ00
GM0003 ,,2022SJ00
GM0202 ,400.0,2012SJ00
GM0202 ,370.0,2013SJ00
GM0202 ,360.0,2014SJ00
