ID,Value,Year
PV30,9.8,2014
PV30,9.4,2015
PV30,9.6,2016
PV30,9.3,2017
PV30,9.3,2018
PV30,9.2,2019
PV30,9.1,2020
PV30,9.9,2021
PV30,9.1,2022
PV31,11.8,1988
PV31,11.7,1989
PV31,12.4,1990
PV31,12.1,1991
PV31,11.7,1992
PV31,11.5,1993
PV31,11.3,1994
PV31,11.0,1995
PV31,10.7,1996
PV31,10.5,1997
PV31,10.9,1998
PV31,10.7,1999
PV31,10.7,2000
PV31,10.4,2001
PV31,10.1,2002
PV31,9.8,2003
PV31,9.4,2004
PV31,8.9,2005
PV31,8.7,2006
PV31,8.4,2007
PV31,8.4,2008
PV31,8.7,2009
PV31,8.6,2010
PV31,8.3,2011
PV31,8.1,2012
PV31,8.0,2013
PV31,7.9,2014
PV31,7.8,2015
PV31,8.1,2016
PV31,7.9,2017
PV31,7.8,2018
PV31,7.8,2019
PV31,7.7,2020
PV31,8.4,2021
PV31,7.9,2022
CR01,10.9,1988
CR01,10.8,1989
CR01,11.2,1990
CR01,11.3,1991
CR01,10.6,1992
CR01,10.7,1993
CR01,11.4,1994
CR01,10.7,1995
CR01,10.6,1996
CR01,10.7,1997
CR01,10.9,1998
CR01,11.0,1999
CR01,10.9,2000
CR01,11.0,2001
CR01,11.0,2002
CR01,10.3,2003
CR01,9.8,2004
CR01,9.6,2005
CR01,9.4,2006
CR01,9.1,2007
CR01,9.4,2008
CR01,9.9,2009
CR01,9.3,2010
CR01,9.1,2011
CR01,9.0,2012
CR01,8.5,2013
CR01,8.4,2014
CR01,8.2,2015
CR01,8.8,2016
CR01,7.9,2017
CR01,7.6,2018
CR01,7.9,2019
CR01,7.6,2020
CR01,7.9,2021
CR01,8.2,2022
CR02,11.8,1988
CR02,11.4,1989
CR02,12.7,1990
CR02,11.9,1991
CR02,11.4,1992
CR02,11.6,1993
CR02,11.5,1994
CR02,12.0,1995
CR02,11.5,1996
CR02,11.5,1997
CR02,11.7,1998
CR02,10.8,1999
CR02,11.5,2000
CR02,10.8,2001
CR02,10.6,2002
CR02,10.6,2003
CR02,10.4,2004
CR02,8.9,2005
CR02,9.7,2006
CR02,9.5,2007
CR02,9.4,2008
CR02,9.2,2009
CR02,9.5,2010
CR02,8.6,2011
CR02,8.9,2012
CR02,8.0,2013
CR02,8.4,2014
CR02,7.8,2015
CR02,9.0,2016
CR02,8.2,2017
CR02,7.4,2018
CR02,8.3,2019
CR02,7.5,2020
CR02,9.1,2021
CR02,7.8,2022
CR03,11.5,1988
CR03,11.6,1989
CR03,12.2,1990
CR03,12.0,1991
CR03,11.4,1992
CR03,11.4,1993
CR03,11.7,1994
CR03,11.5,1995
CR03,11.1,1996
CR03,11.6,1997
CR03,11.9,1998
CR03,12.0,1999
CR03,11.8,2000
CR03,12.0,2001
CR03,11.7,2002
CR03,11.7,2003
CR03,11.1,2004
CR03,10.9,2005
CR03,10.6,2006
CR03,10.3,2007
CR03,10.8,2008
CR03,10.6,2009
CR03,10.2,2010
CR03,10.7,2011
CR03,10.0,2012
CR03,9.5,2013
CR03,9.7,2014
CR03,9.6,2015
CR03,9.5,2016
CR03,9.1,2017
CR03,8.8,2018
CR03,8.9,2019
CR03,8.8,2020
CR03,9.4,2021
CR03,8.5,2022
CR04,12.5,1988
CR04,12.7,1989
