RegioS,LevendGeborenKinderenRelatief_2,Perioden
CR03  ,11.7,2002JJ00
CR03  ,11.7,2003JJ00
CR03  ,11.1,2004JJ00
CR03  ,10.9,2005JJ00
CR03  ,10.6,2006JJ00
CR03  ,10.3,2007JJ00
CR03  ,10.8,2008JJ00
CR03  ,10.6,2009JJ00
CR03  ,10.2,2010JJ00
CR03  ,10.7,2011JJ00
CR03  ,10.0,2012JJ00
CR03  ,9.5,2013JJ00
CR03  ,9.7,2014JJ00
CR03  ,9.6,2015JJ00
CR03  ,9.5,2016JJ00
CR03  ,9.1,2017JJ00
CR03  ,8.8,2018JJ00
CR03  ,8.9,2019JJ00
CR03  ,8.8,2020JJ00
CR03  ,9.4,2021JJ00
CR03  ,8.5,2022JJ00
CR04  ,12.5,1988JJ00
CR04  ,12.7,1989JJ00
CR04  ,12.5,1990JJ00
CR04  ,12.9,1991JJ00
CR04  ,12.8,1992JJ00
CR04  ,12.9,1993JJ00
CR04  ,12.3,1994JJ00
CR04  ,12.4,1995JJ00
CR04  ,12.2,1996JJ00
CR04  ,12.0,1997JJ00
CR04  ,12.3,1998JJ00
CR04  ,12.4,1999JJ00
CR04  ,12.4,2000JJ00
CR04  ,12.5,2001JJ00
CR04  ,12.6,2002JJ00
CR04  ,12.5,2003JJ00
CR04  ,12.0,2004JJ00
CR04  ,11.6,2005JJ00
CR04  ,11.3,2006JJ00
CR04  ,11.1,2007JJ00
CR04  ,11.2,2008JJ00
CR04  ,11.3,2009JJ00
CR04  ,11.1,2010JJ00
CR04  ,10.3,2011JJ00
CR04  ,10.5,2012JJ00
CR04  ,9.9,2013JJ00
CR04  ,10.0,2014JJ00
CR04  ,9.5,2015JJ00
CR04  ,9.6,2016JJ00
CR04  ,9.6,2017JJ00
CR04  ,9.2,2018JJ00
CR04  ,9.3,2019JJ00
CR04  ,9.0,2020JJ00
CR04  ,10.0,2021JJ00
CR04  ,9.0,2022JJ00
CR05  ,12.8,1988JJ00
CR05  ,13.3,1989JJ00
CR05  ,12.8,1990JJ00
CR05  ,13.7,1991JJ00
CR05  ,13.2,1992JJ00
CR05  ,12.5,1993JJ00
CR05  ,12.5,1994JJ00
CR05  ,12.7,1995JJ00
CR05  ,12.4,1996JJ00
CR05  ,13.3,1997JJ00
CR05  ,12.7,1998JJ00
CR05  ,13.2,1999JJ00
CR05  ,13.9,2000JJ00
CR05  ,13.1,2001JJ00
CR05  ,12.9,2002JJ00
CR05  ,13.0,2003JJ00
CR05  ,12.3,2004JJ00
CR05  ,11.8,2005JJ00
CR05  ,11.5,2006JJ00
CR05  ,11.4,2007JJ00
CR05  ,10.6,2008JJ00
CR05  ,11.6,2009JJ00
CR05  ,10.3,2010JJ00
CR05  ,10.8,2011JJ00
CR05  ,9.8,2012JJ00
CR05  ,9.9,2013JJ00
CR05  ,9.0,2014JJ00
CR05  ,8.8,2015JJ00
CR05  ,9.4,2016JJ00
CR05  ,8.7,2017JJ00
CR05  ,8.6,2018JJ00
CR05  ,9.3,2019JJ00
CR05  ,9.1,2020JJ00
CR05  ,9.4,2021JJ00
CR05  ,8.6,2022JJ00
CR06  ,12.1,1988JJ00
CR06  ,12.3,1989JJ00
CR06  ,12.3,1990JJ00
CR06  ,13.0,1991JJ00
CR06  ,11.9,1992JJ00
CR06  ,12.0,1993JJ00
CR06  ,12.2,1994JJ00
CR06  ,12.1,1995JJ00
CR06  ,11.8,1996JJ00
CR06  ,12.0,1997JJ00
CR06  ,12.6,1998JJ00
CR06  ,12.3,1999JJ00
CR06  ,12.7,2000JJ00
CR06  ,12.2,2001JJ00
CR06  ,12.2,2002JJ00
CR06  ,11.8,2003JJ00
CR06  ,11.1,2004JJ00
CR06  ,11.1,2005JJ00
CR06  ,11.0,2006JJ00
CR06  ,10.6,2007JJ00
CR06  ,10.6,2008JJ00
CR06  ,10.2,2009JJ00
CR06  ,10.7,2010JJ00
CR06  ,10.0,2011JJ00
CR06  ,9.5,2012JJ00
CR06  ,9.3,2013JJ00
CR06  ,9.9,2014JJ00
CR06  ,9.3,2015JJ00
CR06  ,8.7,2016JJ00
CR06  ,9.0,2017JJ00
CR06  ,8.7,2018JJ00
CR06  ,8.8,2019JJ00
CR06  ,8.8,2020JJ00
CR06  ,9.4,2021JJ00
CR06  ,8.6,2022JJ00
CR07  ,12.0,1988JJ00
CR07  ,11.4,1989JJ00
CR07  ,12.4,1990JJ00
CR07  ,12.8,1991JJ00
CR07  ,11.8,1992JJ00
CR07  ,12.6,1993JJ00
CR07  ,11.6,1994JJ00
CR07  ,11.8,1995JJ00
CR07  ,11.5,1996JJ00
CR07  ,11.5,1997JJ00
CR07  ,12.2,1998JJ00
CR07  ,12.1,1999JJ00
CR07  ,12.1,2000JJ00
