RegioS,Beroepsbevolking_2,Perioden
CR10  ,209.0,2020JJ00
CR10  ,212.0,2021JJ00
CR10  ,219.0,2022JJ00
CR10  ,221.0,2023JJ00
CR11  ,85.0,2013JJ00
CR11  ,84.0,2014JJ00
CR11  ,84.0,2015JJ00
CR11  ,84.0,2016JJ00
CR11  ,85.0,2017JJ00
CR11  ,86.0,2018JJ00
CR11  ,87.0,2019JJ00
CR11  ,87.0,2020JJ00
CR11  ,88.0,2021JJ00
CR11  ,90.0,2022JJ00
CR11  ,91.0,2023JJ00
CR12  ,337.0,2013JJ00
CR12  ,332.0,2014JJ00
CR12  ,335.0,2015JJ00
CR12  ,333.0,2016JJ00
CR12  ,334.0,2017JJ00
CR12  ,337.0,2018JJ00
CR12  ,341.0,2019JJ00
CR12  ,339.0,2020JJ00
CR12  ,344.0,2021JJ00
CR12  ,354.0,2022JJ00
CR12  ,359.0,2023JJ00
CR13  ,360.0,2013JJ00
CR13  ,357.0,2014JJ00
CR13  ,358.0,2015JJ00
CR13  ,360.0,2016JJ00
CR13  ,366.0,2017JJ00
CR13  ,369.0,2018JJ00
CR13  ,374.0,2019JJ00
CR13  ,380.0,2020JJ00
CR13  ,381.0,2021JJ00
CR13  ,394.0,2022JJ00
CR13  ,402.0,2023JJ00
CR14  ,215.0,2013JJ00
CR14  ,212.0,2014JJ00
CR14  ,212.0,2015JJ00
CR14  ,211.0,2016JJ00
CR14  ,213.0,2017JJ00
CR14  ,214.0,2018JJ00
CR14  ,216.0,2019JJ00
CR14  ,217.0,2020JJ00
CR14  ,217.0,2021JJ00
CR14  ,222.0,2022JJ00
CR14  ,223.0,2023JJ00
CR15  ,401.0,2013JJ00
CR15  ,397.0,2014JJ00
CR15  ,397.0,2015JJ00
CR15  ,396.0,2016JJ00
CR15  ,403.0,2017JJ00
CR15  ,406.0,2018JJ00
CR15  ,408.0,2019JJ00
CR15  ,414.0,2020JJ00
CR15  ,416.0,2021JJ00
CR15  ,426.0,2022JJ00
CR15  ,433.0,2023JJ00
CR16  ,130.0,2013JJ00
CR16  ,130.0,2014JJ00
CR16  ,130.0,2015JJ00
CR16  ,131.0,2016JJ00
CR16  ,133.0,2017JJ00
CR16  ,134.0,2018JJ00
CR16  ,138.0,2019JJ00
CR16  ,140.0,2020JJ00
CR16  ,141.0,2021JJ00
CR16  ,144.0,2022JJ00
CR16  ,147.0,2023JJ00
CR17  ,723.0,2013JJ00
CR17  ,721.0,2014JJ00
CR17  ,726.0,2015JJ00
CR17  ,729.0,2016JJ00
CR17  ,735.0,2017JJ00
CR17  ,750.0,2018JJ00
CR17  ,766.0,2019JJ00
CR17  ,771.0,2020JJ00
CR17  ,775.0,2021JJ00
CR17  ,796.0,2022JJ00
CR17  ,812.0,2023JJ00
CR18  ,204.0,2013JJ00
CR18  ,203.0,2014JJ00
CR18  ,203.0,2015JJ00
CR18  ,204.0,2016JJ00
CR18  ,204.0,2017JJ00
CR18  ,204.0,2018JJ00
CR18  ,207.0,2019JJ00
CR18  ,207.0,2020JJ00
CR18  ,207.0,2021JJ00
CR18  ,211.0,2022JJ00
CR18  ,215.0,2023JJ00
CR19  ,130.0,2013JJ00
CR19  ,129.0,2014JJ00
CR19  ,130.0,2015JJ00
CR19  ,131.0,2016JJ00
CR19  ,132.0,2017JJ00
CR19  ,133.0,2018JJ00
CR19  ,136.0,2019JJ00
CR19  ,136.0,2020JJ00
CR19  ,137.0,2021JJ00
CR19  ,139.0,2022JJ00
CR19  ,142.0,2023JJ00
CR20  ,106.0,2013JJ00
CR20  ,106.0,2014JJ00
CR20  ,107.0,2015JJ00
CR20  ,108.0,2016JJ00
CR20  ,109.0,2017JJ00
CR20  ,109.0,2018JJ00
CR20  ,111.0,2019JJ00
CR20  ,111.0,2020JJ00
CR20  ,111.0,2021JJ00
CR20  ,112.0,2022JJ00
CR20  ,113.0,2023JJ00
CR21  ,119.0,2013JJ00
CR21  ,119.0,2014JJ00
CR21  ,121.0,2015JJ00
CR21  ,122.0,2016JJ00
CR21  ,124.0,2017JJ00
CR21  ,125.0,2018JJ00
CR21  ,126.0,2019JJ00
CR21  ,126.0,2020JJ00
CR21  ,126.0,2021JJ00
CR21  ,128.0,2022JJ00
CR21  ,132.0,2023JJ00
CR22  ,91.0,2013JJ00
CR22  ,90.0,2014JJ00
CR22  ,91.0,2015JJ00
CR22  ,92.0,2016JJ00
CR22  ,92.0,2017JJ00
CR22  ,93.0,2018JJ00
CR22  ,95.0,2019JJ00
CR22  ,93.0,2020JJ00
CR22  ,95.0,2021JJ00
CR22  ,96.0,2022JJ00
CR22  ,99.0,2023JJ00
CR23  ,750.0,2013JJ00
CR23  ,754.0,2014JJ00
CR23  ,763.0,2015JJ00
CR23  ,782.0,2016JJ00
CR23  ,782.0,2017JJ00
CR23  ,792.0,2018JJ00
CR23  ,805.0,2019JJ00
CR23  ,813.0,2020JJ00
CR23  ,820.0,2021JJ00
CR23  ,860.0,2022JJ00
CR23  ,880.0,2023JJ00
CR24  ,120.0,2013JJ00
CR24  ,119.0,2014JJ00
CR24  ,119.0,2015JJ00
CR24  ,121.0,2016JJ00
CR24  ,122.0,2017JJ00
CR24  ,123.0,2018JJ00
CR24  ,125.0,2019JJ00
CR24  ,126.0,2020JJ00
CR24  ,127.0,2021JJ00
CR24  ,131.0,2022JJ00
CR24  ,134.0,2023JJ00
CR25  ,232.0,2013JJ00
CR25  ,233.0,2014JJ00
CR25  ,233.0,2015JJ00
CR25  ,234.0,2016JJ00
CR25  ,237.0,2017JJ00
CR25  ,240.0,2018JJ00
CR25  ,245.0,2019JJ00
CR25  ,244.0,2020JJ00
CR25  ,246.0,2021JJ00
CR25  ,251.0,2022JJ00
CR25  ,258.0,2023JJ00
CR26  ,441.0,2013JJ00
CR26  ,439.0,2014JJ00
CR26  ,440.0,2015JJ00
CR26  ,441.0,2016JJ00
CR26  ,446.0,2017JJ00
CR26  ,456.0,2018JJ00
CR26  ,465.0,2019JJ00
CR26  ,467.0,2020JJ00
CR26  ,475.0,2021JJ00
CR26  ,489.0,2022JJ00
CR26  ,506.0,2023JJ00
CR27  ,124.0,2013JJ00
CR27  ,126.0,2014JJ00
CR27  ,127.0,2015JJ00
CR27  ,127.0,2016JJ00
CR27  ,129.0,2017JJ00
CR27  ,131.0,2018JJ00
CR27  ,134.0,2019JJ00
CR27  ,133.0,2020JJ00
CR27  ,134.0,2021JJ00
CR27  ,139.0,2022JJ00
CR27  ,143.0,2023JJ00
CR28  ,175.0,2013JJ00
CR28  ,175.0,2014JJ00
CR28  ,175.0,2015JJ00
CR28  ,176.0,2016JJ00
CR28  ,179.0,2017JJ00
CR28  ,182.0,2018JJ00
CR28  ,185.0,2019JJ00
CR28  ,186.0,2020JJ00
CR28  ,189.0,2021JJ00
CR28  ,194.0,2022JJ00
CR28  ,197.0,2023JJ00
CR29  ,743.0,2013JJ00
CR29  ,744.0,2014JJ00
CR29  ,744.0,2015JJ00
CR29  ,741.0,2016JJ00
CR29  ,752.0,2017JJ00
CR29  ,763.0,2018JJ00
CR29  ,778.0,2019JJ00
CR29  ,782.0,2020JJ00
CR29  ,801.0,2021JJ00
CR29  ,817.0,2022JJ00
CR29  ,836.0,2023JJ00
CR30  ,196.0,2013JJ00
CR30  ,195.0,2014JJ00
CR30  ,194.0,2015JJ00
CR30  ,195.0,2016JJ00
CR30  ,197.0,2017JJ00
CR30  ,199.0,2018JJ00
CR30  ,201.0,2019JJ00
CR30  ,201.0,2020JJ00
CR30  ,204.0,2021JJ00
CR30  ,207.0,2022JJ00
CR30  ,212.0,2023JJ00
CR31  ,54.0,2013JJ00
CR31  ,53.0,2014JJ00
CR31  ,54.0,2015JJ00
CR31  ,54.0,2016JJ00
CR31  ,53.0,2017JJ00
CR31  ,54.0,2018JJ00
CR31  ,53.0,2019JJ00
CR31  ,54.0,2020JJ00
CR31  ,55.0,2021JJ00
CR31  ,54.0,2022JJ00
CR31  ,55.0,2023JJ00
CR32  ,145.0,2013JJ00
CR32  ,145.0,2014JJ00
CR32  ,146.0,2015JJ00
CR32  ,147.0,2016JJ00
CR32  ,145.0,2017JJ00
CR32  ,148.0,2018JJ00
CR32  ,149.0,2019JJ00
CR32  ,149.0,2020JJ00
CR32  ,152.0,2021JJ00
CR32  ,153.0,2022JJ00
CR32  ,156.0,2023JJ00
CR33  ,343.0,2013JJ00
CR33  ,341.0,2014JJ00
CR33  ,342.0,2015JJ00
CR33  ,341.0,2016JJ00
CR33  ,344.0,2017JJ00
CR33  ,347.0,2018JJ00
CR33  ,353.0,2019JJ00
CR33  ,351.0,2020JJ00
CR33  ,353.0,2021JJ00
CR33  ,358.0,2022JJ00
CR33  ,364.0,2023JJ00
CR34  ,263.0,2013JJ00
CR34  ,262.0,2014JJ00
CR34  ,263.0,2015JJ00
CR34  ,265.0,2016JJ00
CR34  ,268.0,2017JJ00
CR34  ,270.0,2018JJ00
CR34  ,276.0,2019JJ00
CR34  ,278.0,2020JJ00
CR34  ,278.0,2021JJ00
CR34  ,284.0,2022JJ00
CR34  ,289.0,2023JJ00
CR35  ,354.0,2013JJ00
CR35  ,353.0,2014JJ00
CR35  ,354.0,2015JJ00
CR35  ,355.0,2016JJ00
CR35  ,359.0,2017JJ00
CR35  ,361.0,2018JJ00
CR35  ,370.0,2019JJ00
CR35  ,374.0,2020JJ00
CR35  ,373.0,2021JJ00
CR35  ,379.0,2022JJ00
CR35  ,386.0,2023JJ00
CR36  ,411.0,2013JJ00
CR36  ,411.0,2014JJ00
CR36  ,413.0,2015JJ00
CR36  ,416.0,2016JJ00
CR36  ,421.0,2017JJ00
CR36  ,425.0,2018JJ00
CR36  ,437.0,2019JJ00
CR36  ,439.0,2020JJ00
CR36  ,443.0,2021JJ00
CR36  ,451.0,2022JJ00
CR36  ,462.0,2023JJ00
CR37  ,154.0,2013JJ00
CR37  ,152.0,2014JJ00
CR37  ,153.0,2015JJ00
CR37  ,154.0,2016JJ00
CR37  ,155.0,2017JJ00
CR37  ,156.0,2018JJ00
CR37  ,158.0,2019JJ00
CR37  ,157.0,2020JJ00
CR37  ,157.0,2021JJ00
CR37  ,160.0,2022JJ00
CR37  ,163.0,2023JJ00
CR38  ,128.0,2013JJ00
CR38  ,125.0,2014JJ00
CR38  ,126.0,2015JJ00
CR38  ,125.0,2016JJ00
CR38  ,126.0,2017JJ00
CR38  ,127.0,2018JJ00
CR38  ,128.0,2019JJ00
CR38  ,128.0,2020JJ00
CR38  ,127.0,2021JJ00
CR38  ,129.0,2022JJ00
CR38  ,130.0,2023JJ00
CR39  ,314.0,2013JJ00
CR39  ,310.0,2014JJ00
CR39  ,311.0,2015JJ00
CR39  ,308.0,2016JJ00
CR39  ,306.0,2017JJ00
CR39  ,308.0,2018JJ00
CR39  ,309.0,2019JJ00
CR39  ,305.0,2020JJ00
CR39  ,306.0,2021JJ00
CR39  ,307.0,2022JJ00
CR39  ,312.0,2023JJ00
CR40  ,223.0,2013JJ00
CR40  ,220.0,2014JJ00
CR40  ,221.0,2015JJ00
CR40  ,224.0,2016JJ00
CR40  ,226.0,2017JJ00
CR40  ,230.0,2018JJ00
CR40  ,233.0,2019JJ00
CR40  ,238.0,2020JJ00
CR40  ,243.0,2021JJ00
CR40  ,251.0,2022JJ00
CR40  ,258.0,2023JJ00
GM1680,13.0,2013JJ00
GM1680,13.0,2014JJ00
GM1680,13.0,2015JJ00
GM1680,13.0,2016JJ00
GM1680,13.0,2017JJ00
GM1680,13.0,2018JJ00
GM1680,13.0,2019JJ00
GM1680,13.0,2020JJ00
GM1680,13.0,2021JJ00
GM1680,14.0,2022JJ00
GM1680,14.0,2023JJ00
GM0358,17.0,2013JJ00
GM0358,17.0,2014JJ00
GM0358,17.0,2015JJ00
GM0358,17.0,2016JJ00
GM0358,18.0,2017JJ00
GM0358,18.0,2018JJ00
GM0358,18.0,2019JJ00
GM0358,18.0,2020JJ00
GM0358,18.0,2021JJ00
GM0358,19.0,2022JJ00
GM0358,20.0,2023JJ00
GM0197,15.0,2013JJ00
GM0197,14.0,2014JJ00
GM0197,14.0,2015JJ00
GM0197,14.0,2016JJ00
GM0197,15.0,2017JJ00
GM0197,15.0,2018JJ00
GM0197,15.0,2019JJ00
GM0197,15.0,2020JJ00
GM0197,15.0,2021JJ00
GM0197,15.0,2022JJ00
GM0197,15.0,2023JJ00
GM0059,15.0,2013JJ00
GM0059,15.0,2014JJ00
GM0059,15.0,2015JJ00
GM0059,15.0,2016JJ00
GM0059,15.0,2017JJ00
GM0059,15.0,2018JJ00
GM0059,15.0,2019JJ00
GM0059,15.0,2020JJ00
GM0059,15.0,2021JJ00
GM0059,15.0,2022JJ00
GM0059,15.0,2023JJ00
GM0482,10.0,2013JJ00
GM0482,10.0,2014JJ00
GM0482,10.0,2015JJ00
GM0482,10.0,2016JJ00
GM0482,11.0,2017JJ00
GM0482,11.0,2018JJ00
GM0482,11.0,2019JJ00
GM0482,11.0,2020JJ00
GM0482,11.0,2021JJ00
GM0482,11.0,2022JJ00
GM0482,11.0,2023JJ00
GM0613,14.0,2013JJ00
GM0613,14.0,2014JJ00
GM0613,14.0,2015JJ00
GM0613,14.0,2016JJ00
GM0613,14.0,2017JJ00
GM0613,14.0,2018JJ00
GM0613,14.0,2019JJ00
GM0613,14.0,2020JJ00
GM0613,14.0,2021JJ00
GM0613,15.0,2022JJ00
GM0613,15.0,2023JJ00
GM0361,60.0,2013JJ00
GM0361,59.0,2014JJ00
GM0361,60.0,2015JJ00
GM0361,60.0,2016JJ00
GM0361,60.0,2017JJ00
GM0361,61.0,2018JJ00
GM0361,62.0,2019JJ00
GM0361,61.0,2020JJ00
GM0361,61.0,2021JJ00
GM0361,63.0,2022JJ00
GM0361,64.0,2023JJ00
GM0141,38.0,2013JJ00
GM0141,36.0,2014JJ00
GM0141,37.0,2015JJ00
GM0141,37.0,2016JJ00
GM0141,37.0,2017JJ00
GM0141,38.0,2018JJ00
GM0141,39.0,2019JJ00
GM0141,38.0,2020JJ00
GM0141,38.0,2021JJ00
GM0141,39.0,2022JJ00
GM0141,40.0,2023JJ00
GM0034,113.0,2013JJ00
GM0034,111.0,2014JJ00
GM0034,111.0,2015JJ00
GM0034,113.0,2016JJ00
GM0034,114.0,2017JJ00
GM0034,117.0,2018JJ00
GM0034,119.0,2019JJ00
GM0034,121.0,2020JJ00
GM0034,124.0,2021JJ00
GM0034,128.0,2022JJ00
GM0034,131.0,2023JJ00
GM0484,60.0,2013JJ00
GM0484,60.0,2014JJ00
GM0484,60.0,2015JJ00
GM0484,60.0,2016JJ00
GM0484,61.0,2017JJ00
GM0484,62.0,2018JJ00
GM0484,62.0,2019JJ00
GM0484,63.0,2020JJ00
GM0484,63.0,2021JJ00
GM0484,66.0,2022JJ00
GM0484,66.0,2023JJ00
GM1723,5.0,2013JJ00
GM1723,5.0,2014JJ00
GM1723,5.0,2015JJ00
GM1723,5.0,2016JJ00
GM1723,6.0,2017JJ00
GM1723,6.0,2018JJ00
GM1723,6.0,2019JJ00
GM1723,6.0,2020JJ00
GM1723,6.0,2021JJ00
GM1723,6.0,2022JJ00
GM1723,6.0,2023JJ00
GM1959,29.0,2013JJ00
GM1959,29.0,2014JJ00
GM1959,29.0,2015JJ00
GM1959,30.0,2016JJ00
GM1959,30.0,2017JJ00
GM1959,30.0,2018JJ00
GM1959,31.0,2019JJ00
GM1959,31.0,2020JJ00
GM1959,32.0,2021JJ00
GM1959,32.0,2022JJ00
GM1959,33.0,2023JJ00
GM0060,2.0,2013JJ00
GM0060,2.0,2014JJ00
GM0060,2.0,2015JJ00
GM0060,2.0,2016JJ00
GM0060,2.0,2017JJ00
GM0060,2.0,2018JJ00
GM0060,2.0,2019JJ00
GM0060,2.0,2020JJ00
GM0060,2.0,2021JJ00
GM0060,2.0,2022JJ00
GM0060,2.0,2023JJ00
GM0307,85.0,2013JJ00
GM0307,85.0,2014JJ00
GM0307,86.0,2015JJ00
GM0307,86.0,2016JJ00
GM0307,87.0,2017JJ00
GM0307,89.0,2018JJ00
GM0307,90.0,2019JJ00
GM0307,91.0,2020JJ00
GM0307,91.0,2021JJ00
GM0307,94.0,2022JJ00
GM0307,96.0,2023JJ00
GM0362,45.0,2013JJ00
GM0362,45.0,2014JJ00
GM0362,46.0,2015JJ00
GM0362,48.0,2016JJ00
GM0362,48.0,2017JJ00
GM0362,48.0,2018JJ00
GM0362,49.0,2019JJ00
GM0362,49.0,2020JJ00
GM0362,49.0,2021JJ00
GM0362,51.0,2022JJ00
GM0362,53.0,2023JJ00
GM0363,476.0,2013JJ00
GM0363,481.0,2014JJ00
GM0363,487.0,2015JJ00
GM0363,502.0,2016JJ00
GM0363,501.0,2017JJ00
GM0363,508.0,2018JJ00
GM0363,517.0,2019JJ00
GM0363,522.0,2020JJ00
GM0363,527.0,2021JJ00
GM0363,558.0,2022JJ00
GM0363,569.0,2023JJ00
GM0200,86.0,2013JJ00
GM0200,84.0,2014JJ00
GM0200,84.0,2015JJ00
GM0200,85.0,2016JJ00
GM0200,87.0,2017JJ00
GM0200,87.0,2018JJ00
GM0200,88.0,2019JJ00
GM0200,89.0,2020JJ00
GM0200,88.0,2021JJ00
GM0200,91.0,2022JJ00
GM0200,94.0,2023JJ00
GM0202,85.0,2013JJ00
GM0202,83.0,2014JJ00
GM0202,84.0,2015JJ00
GM0202,84.0,2016JJ00
GM0202,85.0,2017JJ00
GM0202,87.0,2018JJ00
GM0202,87.0,2019JJ00
GM0202,90.0,2020JJ00
GM0202,91.0,2021JJ00
GM0202,95.0,2022JJ00
GM0202,97.0,2023JJ00
GM0106,36.0,2013JJ00
