RegioS,k_40Tot45Jaar_14,Perioden
PV22  ,127.0,2018JJ00
PV22  ,136.0,2019JJ00
PV22  ,127.0,2020JJ00
PV22  ,149.0,2021JJ00
PV22  ,135.0,2022JJ00
PV22  ,155.0,2023JJ00
PV23  ,157.0,1988JJ00
PV23  ,147.0,1989JJ00
PV23  ,161.0,1990JJ00
PV23  ,152.0,1991JJ00
PV23  ,195.0,1992JJ00
PV23  ,185.0,1993JJ00
PV23  ,210.0,1994JJ00
PV23  ,195.0,1995JJ00
PV23  ,172.0,1996JJ00
PV23  ,214.0,1997JJ00
PV23  ,228.0,1998JJ00
PV23  ,277.0,1999JJ00
PV23  ,305.0,2000JJ00
PV23  ,307.0,2001JJ00
PV23  ,334.0,2002JJ00
PV23  ,301.0,2003JJ00
PV23  ,344.0,2004JJ00
PV23  ,328.0,2005JJ00
PV23  ,331.0,2006JJ00
PV23  ,336.0,2007JJ00
PV23  ,400.0,2008JJ00
PV23  ,411.0,2009JJ00
PV23  ,399.0,2010JJ00
PV23  ,421.0,2011JJ00
PV23  ,364.0,2012JJ00
PV23  ,374.0,2013JJ00
PV23  ,355.0,2014JJ00
PV23  ,355.0,2015JJ00
PV23  ,362.0,2016JJ00
PV23  ,322.0,2017JJ00
PV23  ,339.0,2018JJ00
PV23  ,364.0,2019JJ00
PV23  ,347.0,2020JJ00
PV23  ,388.0,2021JJ00
PV23  ,401.0,2022JJ00
PV23  ,359.0,2023JJ00
PV24  ,43.0,1988JJ00
PV24  ,50.0,1989JJ00
PV24  ,46.0,1990JJ00
PV24  ,59.0,1991JJ00
PV24  ,59.0,1992JJ00
PV24  ,79.0,1993JJ00
PV24  ,88.0,1994JJ00
PV24  ,97.0,1995JJ00
PV24  ,89.0,1996JJ00
PV24  ,91.0,1997JJ00
PV24  ,110.0,1998JJ00
PV24  ,113.0,1999JJ00
PV24  ,113.0,2000JJ00
PV24  ,125.0,2001JJ00
PV24  ,139.0,2002JJ00
PV24  ,162.0,2003JJ00
PV24  ,147.0,2004JJ00
PV24  ,166.0,2005JJ00
PV24  ,159.0,2006JJ00
PV24  ,165.0,2007JJ00
PV24  ,152.0,2008JJ00
PV24  ,171.0,2009JJ00
PV24  ,179.0,2010JJ00
PV24  ,178.0,2011JJ00
PV24  ,195.0,2012JJ00
PV24  ,163.0,2013JJ00
PV24  ,183.0,2014JJ00
PV24  ,170.0,2015JJ00
PV24  ,178.0,2016JJ00
PV24  ,173.0,2017JJ00
PV24  ,163.0,2018JJ00
PV24  ,194.0,2019JJ00
PV24  ,212.0,2020JJ00
PV24  ,230.0,2021JJ00
PV24  ,232.0,2022JJ00
PV24  ,239.0,2023JJ00
PV25  ,273.0,1988JJ00
PV25  ,333.0,1989JJ00
PV25  ,345.0,1990JJ00
PV25  ,388.0,1991JJ00
PV25  ,363.0,1992JJ00
PV25  ,410.0,1993JJ00
PV25  ,429.0,1994JJ00
PV25  ,421.0,1995JJ00
PV25  ,469.0,1996JJ00
PV25  ,477.0,1997JJ00
PV25  ,535.0,1998JJ00
PV25  ,572.0,1999JJ00
PV25  ,651.0,2000JJ00
PV25  ,670.0,2001JJ00
PV25  ,643.0,2002JJ00
PV25  ,649.0,2003JJ00
PV25  ,669.0,2004JJ00
PV25  ,725.0,2005JJ00
PV25  ,701.0,2006JJ00
PV25  ,762.0,2007JJ00
PV25  ,781.0,2008JJ00
PV25  ,775.0,2009JJ00
PV25  ,810.0,2010JJ00
PV25  ,804.0,2011JJ00
PV25  ,772.0,2012JJ00
PV25  ,772.0,2013JJ00
PV25  ,739.0,2014JJ00
PV25  ,657.0,2015JJ00
PV25  ,674.0,2016JJ00
PV25  ,739.0,2017JJ00
PV25  ,717.0,2018JJ00
PV25  ,731.0,2019JJ00
PV25  ,803.0,2020JJ00
PV25  ,772.0,2021JJ00
PV25  ,832.0,2022JJ00
PV25  ,757.0,2023JJ00
PV26  ,225.0,1988JJ00
PV26  ,247.0,1989JJ00
PV26  ,238.0,1990JJ00
PV26  ,266.0,1991JJ00
PV26  ,310.0,1992JJ00
PV26  ,311.0,1993JJ00
PV26  ,341.0,1994JJ00
PV26  ,305.0,1995JJ00
PV26  ,346.0,1996JJ00
PV26  ,386.0,1997JJ00
PV26  ,387.0,1998JJ00
PV26  ,451.0,1999JJ00
PV26  ,471.0,2000JJ00
PV26  ,504.0,2001JJ00
PV26  ,559.0,2002JJ00
PV26  ,555.0,2003JJ00
PV26  ,609.0,2004JJ00
PV26  ,600.0,2005JJ00
PV26  ,604.0,2006JJ00
PV26  ,632.0,2007JJ00
PV26  ,660.0,2008JJ00
PV26  ,696.0,2009JJ00
PV26  ,717.0,2010JJ00
PV26  ,686.0,2011JJ00
PV26  ,692.0,2012JJ00
PV26  ,629.0,2013JJ00
PV26  ,721.0,2014JJ00
PV26  ,645.0,2015JJ00
PV26  ,630.0,2016JJ00
PV26  ,672.0,2017JJ00
PV26  ,673.0,2018JJ00
PV26  ,705.0,2019JJ00
PV26  ,683.0,2020JJ00
PV26  ,788.0,2021JJ00
PV26  ,708.0,2022JJ00
PV26  ,668.0,2023JJ00
PV27  ,481.0,1988JJ00
PV27  ,533.0,1989JJ00
PV27  ,608.0,1990JJ00
PV27  ,621.0,1991JJ00
PV27  ,729.0,1992JJ00
PV27  ,753.0,1993JJ00
PV27  ,836.0,1994JJ00
PV27  ,776.0,1995JJ00
PV27  ,844.0,1996JJ00
PV27  ,927.0,1997JJ00
PV27  ,1000.0,1998JJ00
PV27  ,1011.0,1999JJ00
PV27  ,1214.0,2000JJ00
PV27  ,1201.0,2001JJ00
PV27  ,1225.0,2002JJ00
PV27  ,1308.0,2003JJ00
PV27  ,1381.0,2004JJ00
